route,airline,booking_class,demand_level,season,days_to_departure,fuel_price_index,competitor_price,predicted_flight_price_inr
GOA-DEL,SkyJet,Economy,1.47,Regular,154,101.35,4638.32,9309.05
DEL-MUM,IndiSky,Economy,0.67,Peak,123,98.48,11241.19,5920.87
BLR-DEL,FlyIndia,Premium Economy,1.33,Off-Peak,1,99.92,11705.86,18090.86
HYD-BOM,FlyIndia,Economy,1.38,Peak,157,84.38,9887.45,8332.87
CHN-KOL,SkyJet,Premium Economy,0.84,Peak,124,87.48,4456.91,9629.91
CHN-KOL,BharatAir,Economy,1.4,Peak,97,115.09,10070.22,14192.58
PUNE-BLR,IndiSky,Economy,0.82,Holiday,46,104.12,4858.08,7137.61
GOA-DEL,BharatAir,Economy,1.11,Off-Peak,59,103.73,2771.26,10372.43
BLR-DEL,AirVista,Premium Economy,1.15,Regular,46,81.86,7278.01,13798.49
HYD-BOM,BharatAir,Economy,0.64,Peak,54,102.18,4573.64,5910.68
DEL-MUM,IndiSky,Economy,0.85,Peak,61,88.76,5403.65,8349.05
DEL-MUM,BharatAir,Economy,1.05,Regular,134,95.91,6597.4,6371.01
HYD-BOM,AirVista,Economy,1.11,Holiday,111,122.65,2659.07,7833.22
CHN-KOL,BharatAir,Business,1.37,Regular,129,93.5,4384.72,16385.9
GOA-DEL,BharatAir,Economy,0.96,Off-Peak,24,94.57,10828.44,9709.45
HYD-BOM,IndiSky,Economy,0.63,Off-Peak,38,92.02,3171.58,4877.5
CHN-KOL,BharatAir,Premium Economy,1.13,Off-Peak,12,84.66,6740.34,13902.28
HYD-BOM,SkyJet,Economy,1.17,Regular,121,109.04,4994.14,6931.03
GOA-DEL,IndiSky,Economy,1.29,Peak,109,128.95,11214.69,12911.98
BLR-DEL,FlyIndia,Economy,1.43,Peak,61,93.92,2914.17,15500.57
PUNE-BLR,BharatAir,Economy,0.94,Peak,139,100.06,10669.83,6562.98
GOA-DEL,FlyIndia,Economy,0.65,Holiday,149,118.8,8208.3,5313.99
CHN-KOL,BharatAir,Economy,0.96,Off-Peak,127,102.83,9928.74,5451.76
DEL-MUM,IndiSky,Economy,0.6,Regular,24,112.44,10918.66,6364.9
PUNE-BLR,IndiSky,Economy,0.75,Peak,121,87.71,10439.24,5323.84
GOA-DEL,IndiSky,Economy,0.9,Holiday,69,125.31,6639.76,9425.25
DEL-MUM,BharatAir,Economy,1.47,Peak,135,88.82,5023.85,12223.18
CHN-KOL,AirVista,Business,0.73,Regular,170,107.75,6797.19,7548.19
CHN-KOL,BharatAir,Economy,0.96,Holiday,8,101.08,9733.24,10584.0
PUNE-BLR,IndiSky,Economy,1.48,Holiday,136,83.18,5904.89,8665.35
DEL-MUM,FlyIndia,Economy,0.6,Off-Peak,39,92.17,4611.15,4743.05
DEL-MUM,SkyJet,Economy,0.66,Off-Peak,12,92.32,10786.44,5274.28
CHN-KOL,SkyJet,Economy,1.41,Peak,2,96.15,3291.25,16262.64
GOA-DEL,IndiSky,Economy,1.37,Off-Peak,120,126.12,5841.6,10804.58
BLR-DEL,IndiSky,Economy,0.91,Holiday,44,122.36,10168.97,10352.29
DEL-MUM,BharatAir,Economy,1.32,Regular,63,86.54,11496.07,9985.25
GOA-DEL,AirVista,Business,0.68,Holiday,34,93.09,4130.48,13476.7
PUNE-BLR,AirVista,Economy,1.26,Regular,49,80.19,11870.72,8749.49
BLR-DEL,FlyIndia,Premium Economy,0.96,Peak,128,115.84,11840.85,10918.23
PUNE-BLR,SkyJet,Economy,1.36,Holiday,64,129.41,11018.62,11283.62
GOA-DEL,AirVista,Premium Economy,0.6,Regular,159,92.34,5100.87,5058.48
PUNE-BLR,AirVista,Economy,0.76,Holiday,74,80.69,10459.44,6614.3
GOA-DEL,FlyIndia,Economy,1.39,Regular,127,105.94,6973.91,9789.57
DEL-MUM,SkyJet,Economy,1.15,Regular,77,116.12,3678.43,8958.58
PUNE-BLR,AirVista,Premium Economy,1.47,Holiday,125,87.33,9020.57,12511.77
