stock_symbol,sector,days_since_listing,avg_trading_volume,pe_ratio,market_sentiment,quarterly_growth_percent,gdp_growth_percent,inflation_rate_percent,recent_news_score,beta_value,forecast_price_inr
ADANIENT,Finance,2862,1043783.0,13.84,0.25,28.26,8.2,3.27,-1.57,0.93,217.56
INFY,Energy,3278,1014789.0,18.9,0.8,0.33,4.79,3.95,-0.71,1.21,157.54
WIPRO,Infrastructure,4968,836692.0,15.59,0.83,12.45,4.58,5.57,1.43,1.11,165.22
TCS,Banking,118,1000417.0,5.0,0.44,26.23,8.23,3.46,-0.03,1.16,207.16
LT,Banking,4637,803035.0,9.12,-0.34,-9.16,4.72,3.46,-0.81,1.09,110.0
SBIN,IT,1954,851751.0,11.53,-0.74,-5.02,7.47,4.47,-1.82,0.71,93.64
WIPRO,Banking,919,842097.0,38.07,0.57,-1.87,8.65,6.31,-0.48,1.16,220.75
INFY,Infrastructure,1962,1310258.0,34.33,-0.98,26.56,8.21,3.41,1.75,1.11,267.22
INFY,IT,3309,1228945.0,32.51,0.98,29.22,5.36,3.6,1.82,0.74,227.21
INFY,Finance,2974,639372.0,29.97,-0.15,-1.0,7.76,7.44,-0.05,0.66,180.12
SBIN,Finance,4521,1179866.0,18.15,-0.26,26.81,8.53,5.37,-1.67,1.33,218.92
HDFCBANK,Finance,165,738492.0,22.31,-0.2,28.76,3.8,5.89,-1.37,1.21,217.95
RELIANCE,Infrastructure,2375,1034038.0,5.0,-0.82,21.11,4.15,6.15,-1.59,0.93,167.51
TCS,Energy,542,948106.0,21.34,-0.7,-1.76,5.02,3.63,0.89,1.1,165.51
TCS,Energy,1422,1450598.0,35.82,0.4,21.87,6.07,3.5,0.18,1.27,229.53
HDFCBANK,Infrastructure,4014,637112.0,24.06,-0.04,-0.07,6.14,6.77,-1.81,0.9,139.41
INFY,Infrastructure,3439,1096788.0,30.04,-0.05,-8.86,3.52,7.09,0.89,0.99,171.98
ICICIBANK,Energy,2766,1124931.0,20.63,-0.93,10.12,3.91,4.23,0.65,0.97,181.52
RELIANCE,Finance,3121,640872.0,35.68,-0.11,-1.27,7.78,4.57,-1.67,0.99,175.48
WIPRO,IT,938,556294.0,27.17,-0.65,2.23,8.98,6.35,0.38,0.9,146.46
ITC,Energy,4065,790146.0,24.77,-0.36,7.25,7.31,6.88,-0.84,0.7,129.12
HDFCBANK,IT,2137,1007169.0,23.07,0.71,-9.33,8.3,3.2,-0.63,0.89,163.53
RELIANCE,Banking,801,1056982.0,15.41,-0.46,-2.06,6.85,6.82,-1.16,1.11,164.24
HDFCBANK,IT,1913,757226.0,33.47,-0.42,25.07,6.17,4.68,-1.91,0.82,236.72
ICICIBANK,Energy,2865,1101178.0,32.51,-0.52,-7.17,5.23,7.46,1.57,1.06,157.21
LT,Finance,1917,1140841.0,45.15,-0.81,7.85,5.39,6.72,0.85,0.91,228.6
ADANIENT,Energy,1475,1011258.0,35.88,0.16,0.5,7.34,4.55,1.85,1.15,246.64
HDFCBANK,Energy,3974,1240221.0,28.69,0.96,26.69,7.41,5.4,-0.53,0.69,216.43
WIPRO,Banking,1776,1264107.0,15.34,-0.44,-8.26,6.94,6.1,-0.39,1.26,142.56
LT,Energy,2101,1071522.0,37.37,-0.2,24.4,7.52,4.13,-1.26,1.06,236.08
ITC,Energy,618,955337.0,16.73,0.55,14.03,7.72,7.02,-1.71,1.1,221.68
INFY,Energy,4219,771377.0,28.19,-0.09,21.28,5.51,5.69,-0.5,0.95,181.07
INFY,Finance,2185,742251.0,13.78,0.3,25.45,8.12,5.39,0.9,1.13,232.05
LT,Energy,1770,778294.0,33.33,-0.69,23.43,7.69,7.16,0.59,1.34,211.26
HDFCBANK,Energy,1729,1339750.0,27.0,0.81,7.43,8.56,3.81,-0.75,1.06,226.56
WIPRO,Finance,884,836642.0,5.0,-0.65,0.63,7.76,4.34,1.37,1.01,184.24
HDFCBANK,IT,486,1119901.0,23.13,0.11,8.09,4.52,3.32,-0.99,1.08,178.85
HDFCBANK,Infrastructure,1593,766923.0,44.24,-0.16,20.46,4.22,4.55,0.2,0.65,171.58
RELIANCE,Banking,1542,827178.0,23.41,-0.87,4.34,6.02,3.39,-1.27,1.09,159.09
INFY,Energy,4268,1079032.0,27.83,-0.51,-1.11,5.04,3.01,-0.02,0.95,186.6
SBIN,Finance,121,878724.0,27.07,-0.51,24.89,6.83,7.57,-1.22,1.26,206.3
INFY,Finance,431,507326.0,23.8,-0.35,-6.67,4.78,3.58,-1.19,1.05,168.66
INFY,Finance,1220,900586.0,35.36,0.84,4.07,4.53,4.24,-1.23,1.21,185.82
LT,Banking,612,1256336.0,19.61,0.69,22.29,7.41,4.73,0.06,1.11,225.04
SBIN,Infrastructure,2256,1611931.0,29.26,-0.74,27.88,6.2,3.63,-0.94,1.47,251.94
ADANIENT,Energy,1601,1299131.0,26.73,-0.48,-3.13,6.17,3.48,1.87,1.07,197.03
ADANIENT,Banking,2545,836572.0,26.18,-0.99,29.46,3.92,7.14,-0.24,1.23,179.83
HDFCBANK,Finance,3845,843946.0,24.0,0.43,29.33,3.16,3.7,1.22,1.21,248.97
ITC,Energy,807,726795.0,26.99,0.98,25.87,5.24,4.72,-0.73,1.02,180.47
HDFCBANK,Banking,1017,357967.0,26.49,-0.51,0.95,3.71,6.22,-1.38,0.96,191.01
INFY,Energy,2638,484457.0,15.04,-0.97,23.51,3.82,7.09,-0.72,0.78,167.48
TCS,Infrastructure,2616,1105851.0,17.33,0.04,8.84,4.3,4.93,-1.91,1.09,159.03
SBIN,Energy,531,701546.0,27.36,0.44,-5.04,4.35,7.51,0.01,1.39,169.9
HDFCBANK,Banking,2327,1011663.0,23.36,-0.71,17.46,8.24,6.88,-0.44,0.98,200.24
INFY,Banking,4176,966428.0,13.87,0.63,1.59,6.64,5.0,-0.01,1.34,143.97
TCS,Banking,2526,1184264.0,34.53,0.11,-2.08,7.54,4.94,-1.53,0.93,176.53
ADANIENT,Banking,1683,743532.0,11.95,0.04,19.55,3.48,4.29,-1.31,1.32,199.84
WIPRO,Finance,685,1106467.0,21.9,0.25,3.79,5.94,6.45,-1.1,1.16,152.66
HDFCBANK,Infrastructure,3196,889192.0,30.52,-0.0,12.2,4.89,5.74,1.35,1.18,201.76
RELIANCE,IT,4156,1162508.0,30.03,-0.54,3.99,3.54,6.57,-1.05,0.74,159.67
TCS,IT,3965,888167.0,19.03,-0.07,-7.35,3.32,3.38,-1.91,1.11,130.66
WIPRO,Finance,2436,462615.0,16.68,-0.8,-7.52,3.99,6.4,0.08,1.07,121.46
TCS,Finance,3906,1141545.0,5.0,0.56,8.36,3.75,4.94,1.45,0.74,157.13
SBIN,Finance,4297,997809.0,30.14,0.13,-8.58,8.33,6.28,1.9,1.2,174.59
ITC,Infrastructure,4962,928555.0,32.03,0.88,7.62,6.83,7.75,0.07,0.9,225.25
HDFCBANK,Banking,1901,941766.0,28.11,-0.21,10.89,6.31,3.95,0.86,1.13,181.12
ICICIBANK,IT,222,1322280.0,16.76,-0.53,-3.42,7.56,6.58,-1.68,0.83,138.65
LT,Energy,2014,1376293.0,40.16,0.62,-2.67,4.08,3.42,-0.88,1.16,225.24
TCS,Infrastructure,809,513535.0,25.98,0.2,24.77,4.16,5.93,-1.61,0.73,196.78
RELIANCE,Energy,2825,1181612.0,25.19,-0.62,13.18,5.27,6.71,0.51,0.79,208.02
LT,Banking,2065,1010834.0,15.01,-0.36,3.28,6.41,3.78,-1.11,0.65,132.49
SBIN,Infrastructure,268,1530805.0,25.19,-0.42,14.46,7.09,6.04,-0.95,0.97,185.04
WIPRO,IT,1850,984143.0,26.32,-0.57,4.58,6.54,7.23,1.37,1.26,163.58
WIPRO,Finance,4773,1079444.0,19.83,-0.97,-3.95,4.52,3.72,-1.73,1.15,136.76
INFY,IT,2303,1268156.0,14.63,-0.83,-1.03,5.12,4.14,-0.9,0.55,122.28
LT,Energy,1611,833979.0,14.29,-0.1,22.33,7.59,6.65,-0.95,1.17,186.87
ITC,Finance,1866,747945.0,10.36,0.42,6.51,6.55,6.03,1.63,0.98,164.2
ITC,Finance,2125,680174.0,26.11,-0.28,-9.86,4.37,7.6,-1.83,0.92,96.62
RELIANCE,Infrastructure,4387,626781.0,27.89,0.56,6.71,4.28,4.39,-1.59,1.19,178.79
ADANIENT,Energy,4828,1190580.0,26.24,0.57,-6.18,3.66,3.99,-1.41,1.21,137.44
SBIN,Finance,1720,806757.0,18.43,-0.94,-0.19,7.91,3.01,1.87,1.1,187.8
ICICIBANK,Banking,233,458859.0,35.66,0.99,12.37,5.32,6.74,-1.15,1.37,272.77
HDFCBANK,IT,217,819723.0,52.21,-0.12,-1.14,7.04,6.13,0.24,0.89,217.43
TCS,Energy,455,700074.0,28.65,0.0,-2.52,5.53,6.11,-0.52,1.14,203.19
ICICIBANK,Banking,3665,1110531.0,31.02,-0.4,-3.26,7.38,3.89,0.2,1.06,163.8
HDFCBANK,Finance,4428,695356.0,39.68,-0.06,9.67,5.51,3.01,-1.15,1.2,222.22
INFY,Infrastructure,898,722296.0,28.41,0.97,25.27,8.13,7.56,1.06,0.71,193.53
ITC,Infrastructure,2174,1343555.0,16.49,0.57,-2.61,3.36,7.55,0.21,1.17,119.08
ADANIENT,Finance,4318,1311867.0,20.66,-0.88,-5.06,3.83,7.72,1.27,1.04,89.17
WIPRO,Finance,1338,1033154.0,24.51,-0.82,10.25,5.59,6.58,-1.77,1.07,166.98
HDFCBANK,Infrastructure,3158,823905.0,22.0,0.02,27.28,7.35,7.5,-1.57,0.63,171.94
ADANIENT,Infrastructure,985,1192862.0,48.96,0.64,13.46,6.57,7.54,0.01,1.17,258.84
RELIANCE,Energy,657,1342246.0,22.42,0.61,16.26,3.96,3.87,-0.96,0.8,224.26
RELIANCE,IT,2786,802090.0,19.45,0.85,-0.43,4.95,6.8,-0.82,0.72,140.88
ICICIBANK,Finance,4589,957321.0,24.36,-0.65,21.87,6.25,7.14,-1.1,1.08,146.2
LT,Finance,1776,664637.0,56.32,0.29,27.58,3.49,5.28,1.09,1.11,247.71
HDFCBANK,Infrastructure,1480,1414431.0,8.24,0.35,18.8,6.06,5.13,-0.77,1.0,222.91
HDFCBANK,Infrastructure,4175,844085.0,35.31,0.52,16.68,5.82,5.1,-0.56,1.12,231.09
ITC,Banking,3609,600920.0,46.07,-0.76,28.6,8.56,6.85,-1.15,1.08,220.96
ADANIENT,Finance,841,1434624.0,27.38,-0.45,-3.78,5.95,4.23,-1.37,0.83,140.03
RELIANCE,Banking,2141,700280.0,22.3,0.93,-4.07,4.92,6.12,-1.82,0.85,154.78
WIPRO,Energy,2215,975497.0,20.56,-0.59,14.06,4.1,4.93,-1.38,0.82,234.47
SBIN,Infrastructure,1746,567824.0,6.77,0.87,28.56,5.7,6.06,0.31,0.61,195.9
ADANIENT,Banking,4067,1047963.0,34.58,-0.99,21.79,8.87,3.05,0.25,1.11,230.45
INFY,Infrastructure,4864,910253.0,23.08,-0.21,3.83,7.59,6.51,1.85,0.66,162.31
INFY,IT,3630,802705.0,18.34,0.81,22.79,6.23,6.03,-0.13,1.21,223.82
INFY,Banking,2704,1260398.0,7.93,-0.44,29.38,3.87,7.93,1.85,1.27,243.07
ITC,Infrastructure,3853,981618.0,27.15,-0.48,14.76,6.6,3.07,0.64,0.54,241.77
HDFCBANK,Banking,4388,740477.0,25.3,0.62,6.12,4.27,7.76,-0.61,1.33,214.74
SBIN,Energy,4606,643574.0,50.25,0.65,2.25,5.83,4.68,1.6,0.93,251.77
ADANIENT,Energy,2466,1268836.0,24.53,-0.27,24.62,8.44,3.51,1.49,1.11,223.07
ICICIBANK,Infrastructure,3434,1234468.0,24.1,-0.09,11.46,7.17,7.59,1.12,0.88,214.63
INFY,Energy,111,1111596.0,18.37,0.51,0.6,6.7,4.55,0.51,1.14,159.57
LT,Banking,3705,721722.0,32.93,0.47,-5.43,8.32,7.86,-0.05,0.91,179.0
ICICIBANK,Finance,2966,1364091.0,21.42,0.62,0.26,8.62,5.47,-1.98,1.03,166.54
LT,Banking,405,545359.0,20.42,0.45,18.85,4.63,6.32,1.68,1.43,237.96
ICICIBANK,Finance,2395,1079174.0,24.88,-0.37,29.68,6.12,4.05,-1.69,0.97,236.02
ITC,IT,3968,1039547.0,16.67,-0.2,10.86,6.79,7.57,0.84,0.85,144.95
WIPRO,IT,1162,549188.0,35.82,0.18,14.21,6.41,3.1,-0.7,1.02,217.01
INFY,Energy,4738,934675.0,33.18,0.62,11.41,4.21,4.01,-1.53,1.18,166.63
RELIANCE,Infrastructure,3763,725103.0,24.61,-0.38,17.27,8.04,3.8,-0.46,0.97,225.39
ICICIBANK,Energy,4574,1127738.0,18.68,0.77,25.0,6.81,3.89,-1.99,0.5,203.46
RELIANCE,Banking,2032,1285462.0,18.47,-0.78,20.13,4.21,7.14,0.35,0.81,176.69
ITC,Energy,3717,1259329.0,13.14,0.59,-2.1,8.19,5.88,-1.73,0.85,132.26
HDFCBANK,Infrastructure,209,1308576.0,30.94,0.42,17.7,7.67,4.56,-1.2,0.99,227.16
LT,Energy,4839,820755.0,20.71,-0.53,-3.02,3.52,6.79,-0.65,0.99,121.54
WIPRO,Banking,3302,1410634.0,14.94,0.17,18.79,6.63,7.07,1.27,0.65,170.77
SBIN,Infrastructure,2248,859732.0,36.77,0.15,10.55,6.66,5.75,0.08,0.97,201.46
INFY,Energy,1518,1237724.0,44.76,0.44,0.21,3.82,4.99,1.13,1.04,209.64
ITC,Energy,53,1029202.0,21.23,0.42,20.84,8.04,5.33,-0.97,1.0,200.59
ICICIBANK,Infrastructure,4802,990457.0,25.9,-0.17,29.01,3.43,6.13,-0.92,0.98,193.99
WIPRO,Banking,4527,441779.0,39.92,-0.34,15.39,8.53,6.91,0.74,0.98,232.43
LT,Banking,2890,1166657.0,45.45,0.79,22.02,3.27,4.74,1.79,1.03,252.64
HDFCBANK,Banking,2824,672824.0,48.86,0.71,5.91,5.63,7.57,1.0,1.1,228.78
ICICIBANK,Energy,2480,1145906.0,18.25,0.71,13.71,6.97,7.07,1.82,0.75,228.61
SBIN,Infrastructure,1703,998822.0,22.48,0.25,-6.16,6.71,5.41,-1.79,0.86,157.9
ICICIBANK,IT,3418,939343.0,21.73,-0.16,17.39,4.26,4.02,-0.83,1.01,166.42
LT,Energy,1404,1313345.0,41.53,0.34,17.48,7.47,4.03,1.82,1.15,245.01
ITC,IT,4559,996763.0,25.82,0.13,1.42,4.38,7.63,-0.46,1.16,185.34
ITC,Banking,3777,1095400.0,23.05,-0.45,22.36,4.75,5.06,1.92,0.7,189.74
HDFCBANK,Finance,4374,1096633.0,17.04,-0.15,15.11,6.64,5.71,-1.97,0.88,174.84
SBIN,Banking,2338,996286.0,21.46,-0.43,10.1,7.13,7.69,-0.22,1.2,201.14
ICICIBANK,IT,4719,813961.0,29.7,-0.48,13.21,5.25,5.92,0.67,1.11,230.33
LT,IT,3583,915393.0,9.95,0.47,29.08,8.77,5.35,-1.5,0.76,224.75
ICICIBANK,Infrastructure,4738,1719469.0,34.87,-0.18,-4.86,5.29,7.27,0.23,0.9,151.98
TCS,Banking,172,839978.0,21.34,-0.27,16.99,8.41,7.57,-0.61,1.17,206.54
INFY,Energy,240,1008552.0,33.2,0.86,12.18,3.25,4.9,-1.54,0.94,179.65
TCS,Energy,1026,1312456.0,14.76,-0.83,-3.67,6.47,6.57,-0.5,0.81,128.12
RELIANCE,IT,733,779210.0,28.89,-0.66,1.51,8.79,7.47,0.08,0.77,201.32
HDFCBANK,Banking,2886,1084339.0,6.83,-0.85,2.84,6.51,5.04,0.17,1.06,145.99
SBIN,IT,1241,464331.0,37.27,-0.97,26.62,8.55,6.93,0.64,0.58,225.74
ADANIENT,IT,2794,1171912.0,25.6,-0.62,-3.11,8.68,6.26,0.95,1.17,191.59
HDFCBANK,Infrastructure,3470,672066.0,17.74,-0.06,-5.21,5.04,4.16,0.42,1.02,146.95
RELIANCE,Infrastructure,4728,757305.0,28.98,-0.04,3.4,3.76,5.26,1.42,1.33,212.72
ITC,IT,1555,1146597.0,27.02,0.01,8.94,4.07,5.69,0.09,1.17,178.99
ICICIBANK,IT,777,852935.0,22.0,-0.65,21.06,7.59,3.4,1.21,0.89,209.12
LT,Energy,2287,225692.0,39.72,-0.95,11.74,4.82,6.1,-1.54,0.95,154.41
SBIN,Energy,3327,964212.0,34.65,0.26,4.06,4.13,4.14,0.48,0.8,198.07
ICICIBANK,IT,4226,640108.0,29.65,-0.73,10.89,3.59,4.51,0.67,1.14,175.29
HDFCBANK,Infrastructure,643,909729.0,24.9,-0.08,27.07,4.16,6.3,-0.53,1.27,185.93
ADANIENT,Infrastructure,4057,630515.0,37.03,0.85,20.6,4.42,6.97,1.85,1.03,228.7
ICICIBANK,Energy,4534,1378460.0,23.8,-0.71,-4.8,4.23,5.87,0.46,0.77,148.06
TCS,Energy,64,1005530.0,15.69,0.52,20.86,8.4,7.63,-1.45,1.34,225.64
TCS,Energy,243,718941.0,18.47,0.87,25.32,8.37,7.19,-0.33,1.07,216.86
TCS,IT,1957,891366.0,17.36,-0.36,2.64,8.74,7.83,0.84,1.47,190.5
WIPRO,Energy,4533,1210602.0,14.15,-0.01,21.39,8.55,7.05,-1.47,0.72,184.5
ICICIBANK,Finance,3387,1060996.0,31.8,-0.34,15.89,5.52,4.06,-1.99,1.09,161.46
RELIANCE,IT,2428,1156139.0,34.45,-0.57,1.87,6.01,3.42,-0.12,0.85,175.49
HDFCBANK,Infrastructure,198,948032.0,42.05,0.87,22.7,5.63,4.53,-0.56,1.01,284.84
LT,Infrastructure,711,567774.0,16.35,0.84,-5.87,6.47,6.24,-1.86,1.04,148.19
HDFCBANK,IT,4846,610294.0,13.92,-0.18,-1.89,7.96,3.41,0.26,1.14,153.78
SBIN,Finance,2540,883909.0,11.6,0.53,-7.08,3.69,7.07,-1.89,1.21,137.59
TCS,Energy,1326,798106.0,35.14,0.84,28.58,8.73,6.73,1.64,0.8,255.39
TCS,Energy,1400,1007056.0,26.78,0.0,19.46,8.68,5.43,1.99,0.85,185.64
LT,Finance,663,1159536.0,16.32,0.78,25.75,3.34,3.94,1.96,1.16,230.44
RELIANCE,Banking,4825,1044630.0,32.0,-0.2,11.59,5.48,6.54,0.66,1.14,259.97
RELIANCE,Energy,1192,977999.0,26.46,-0.48,20.04,4.78,6.62,0.59,0.55,198.17
INFY,Energy,2151,1153192.0,32.04,-0.57,-6.6,6.89,7.8,1.56,1.0,148.21
WIPRO,Banking,4483,1043897.0,17.3,0.58,10.46,8.08,6.91,0.01,1.24,201.5
TCS,IT,1413,1092532.0,13.65,-0.19,29.81,8.94,3.49,-1.97,1.04,197.99
SBIN,Energy,1962,1134486.0,18.61,0.01,22.26,5.66,7.14,-1.24,0.61,170.47
WIPRO,IT,3446,724278.0,23.7,-0.34,15.3,7.83,3.42,-1.55,1.08,175.08
ADANIENT,Finance,1039,1492725.0,22.18,0.2,19.38,5.25,6.86,-0.61,1.32,195.71
ICICIBANK,Energy,3210,758950.0,25.22,0.45,24.29,6.19,3.64,-0.48,0.59,237.6
HDFCBANK,IT,1774,1228847.0,29.51,0.08,25.9,6.05,6.36,-0.75,1.15,221.86
ADANIENT,Infrastructure,944,955223.0,14.39,0.56,5.2,4.84,4.06,0.07,0.82,188.8
SBIN,Banking,4979,637694.0,30.16,-0.71,21.66,6.13,4.09,-0.24,1.17,225.88
TCS,Finance,3958,689277.0,27.76,-0.19,-3.17,3.99,3.03,1.48,1.23,191.83
SBIN,Finance,65,986992.0,33.91,0.04,28.55,8.17,4.98,0.61,1.04,257.31
ADANIENT,Infrastructure,977,982627.0,26.11,-0.14,-7.52,6.53,5.3,1.17,0.72,173.17
RELIANCE,IT,364,1040670.0,20.17,-0.52,-0.63,3.5,6.35,1.81,1.02,183.53
SBIN,IT,2355,919417.0,28.42,-0.34,12.13,4.88,3.2,-0.8,1.17,176.33
TCS,Infrastructure,2421,952934.0,12.23,-0.51,4.5,8.75,6.43,1.2,1.03,175.09
HDFCBANK,IT,2906,1142898.0,21.79,-0.44,-9.97,7.29,4.44,1.27,0.54,160.92
